map,state,old_district_id,new_district_id,analysis_district_source,matched_new_district_id,candidate_running_district_id,ballotpedia_status,election_phase,candidate_source_url,house_winner,house_winner_party,incumbent,old_presidential_winner,new_presidential_winner,split_ticket_type,old_harris_margin_pts,new_harris_margin_pts,harris_margin_shift_pts,old_incumbent_party_margin_pts,new_incumbent_party_margin_pts,incumbent_party_margin_shift_pts,redistricting_made_seat_harder,old_presidential_lean_against_house_winner,new_presidential_lean_against_house_winner,old_district_retained_share,new_district_from_old_share
"After redistricting, without Alabama change",CA,CA-1,CA-1,No Ballotpedia incumbent match; using population-matched successor,CA-1,NA,NA,NA,NA,DOUG LAMALFA,R,VACANT (LaMalfa),Trump,Harris,Same party won president and House,-24.94975420091589,12.217395885775836,37.16715008669173,24.94975420091589,-12.217395885775836,-37.16715008669173,TRUE,FALSE,TRUE,0.4435230937850684,0.4429964192729596
"After redistricting, without Alabama change",FL,FL-9,FL-9,Ballotpedia active incumbent running district,FL-9,FL-9,active,Democratic primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Florida,_2026",DARREN SOTO,D,Darren Soto,Harris,Trump,Same party won president and House,3.5131589241759458,-17.712751935197833,-21.22591085937378,3.5131589241759458,-17.712751935197833,-21.22591085937378,TRUE,FALSE,TRUE,0.5778768390358557,0.5778768390358557
"After redistricting, without Alabama change",MO,MO-4,MO-4,Ballotpedia active incumbent running district,MO-4,MO-4,active,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Missouri,_2026",MARK ALFORD,R,Mark Alford,Trump,Trump,Same party won president and House,-42.27988508804596,-21.081877488816936,21.198007599229022,42.27988508804596,21.081877488816936,-21.198007599229022,TRUE,FALSE,FALSE,0.6188137214634425,0.6188137214634425
"After redistricting, without Alabama change",TN,TN-8,TN-8,Ballotpedia active incumbent running district,TN-8,TN-8,active,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Tennessee,_2026",DAVID KUSTOFF,R,David Kustoff,Trump,Trump,Same party won president and House,-41.13265839358214,-20.14295138283837,20.98970701074377,41.13265839358214,20.14295138283837,-20.98970701074377,TRUE,FALSE,FALSE,0.6108434880337973,0.6108434880337973
"After redistricting, without Alabama change",CA,CA-2,CA-2,Ballotpedia active incumbent running district,CA-2,CA-2,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",JARED HUFFMAN,D,Jared Huffman,Harris,Harris,Same party won president and House,45.15847414234512,24.649962112941964,-20.508512029403157,45.15847414234512,24.649962112941964,-20.508512029403157,TRUE,FALSE,FALSE,0.6917248458349984,0.6923912517761415
"After redistricting, without Alabama change",TN,TN-4,TN-4,Ballotpedia active incumbent running district,TN-4,TN-4,active,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Tennessee,_2026",SCOTT DESJARLAIS,R,Scott DesJarlais,Trump,Trump,Same party won president and House,-43.57943043047202,-23.924946493520135,19.654483936951888,43.57943043047202,23.924946493520135,-19.654483936951888,TRUE,FALSE,FALSE,0.6728217723787298,0.672822648595923
"After redistricting, without Alabama change",CA,CA-42,CA-42,Ballotpedia active incumbent running district,CA-41,CA-42,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",ROBERT GARCIA,D,Robert Garcia,Harris,Harris,Same party won president and House,32.430994239273716,13.14320360582973,-19.287790633443986,32.430994239273716,13.14320360582973,-19.287790633443986,TRUE,FALSE,FALSE,0.3521887105553823,0.35167389629442
"After redistricting, without Alabama change",FL,FL-12,FL-12,No Ballotpedia incumbent match; using population-matched successor,FL-12,NA,NA,NA,NA,GUS M. BILIRAKIS,R,Gus Bilirakis,Trump,Trump,Same party won president and House,-34.57593465851402,-15.32953040908748,19.24640424942654,34.57593465851402,15.32953040908748,-19.24640424942654,TRUE,FALSE,FALSE,0.4145401646600912,0.4145401646600912
"After redistricting, without Alabama change",CA,CA-48,CA-48,Ballotpedia status is did_not_make_ballot; using population-matched successor,CA-48,NA,did_not_make_ballot,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",DARRELL ISSA,R,Darrell Issa,Trump,Harris,Same party won president and House,-15.306007196372773,3.4299231224127733,18.735930318785545,15.306007196372773,-3.4299231224127733,-18.735930318785545,TRUE,FALSE,TRUE,0.32345307315812855,0.32369586094811936
"After redistricting, without Alabama change",FL,FL-14,FL-14,Ballotpedia active incumbent running district,FL-14,FL-14,active,Democratic primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Florida,_2026",KATHY CASTOR,D,Kathy Castor,Harris,Trump,Same party won president and House,7.670103323469024,-10.464731121501806,-18.13483444497083,7.670103323469024,-10.464731121501806,-18.13483444497083,TRUE,FALSE,TRUE,0.31478729779868203,0.31478729779868203
"After redistricting, without Alabama change",LA,LA-4,LA-4,Ballotpedia active incumbent running district,LA-4,LA-4,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Louisiana,_2026",MIKE JOHNSON,R,Mike Johnson,Trump,Trump,Same party won president and House,-52.13855699007125,-34.162270078794364,17.976286911276887,52.13855699007125,34.162270078794364,-17.976286911276887,TRUE,FALSE,FALSE,0.7519006778289893,0.7518667795042617
"After redistricting, without Alabama change",CA,CA-7,CA-7,Ballotpedia active incumbent running district,CA-7,CA-7,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",DORIS O. MATSUI,D,Doris Matsui,Harris,Harris,Same party won president and House,29.749869015970354,12.825627617776522,-16.924241398193832,29.749869015970354,12.825627617776522,-16.924241398193832,TRUE,FALSE,FALSE,0.7359085632881338,0.7353130346076491
"After redistricting, without Alabama change",CA,CA-4,CA-4,Ballotpedia active incumbent running district,CA-4,CA-4,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",MIKE THOMPSON,D,Mike Thompson,Harris,Harris,Same party won president and House,31.220551143262554,14.511795867811848,-16.708755275450706,31.220551143262554,14.511795867811848,-16.708755275450706,TRUE,FALSE,FALSE,0.5282099806962675,0.533101794448343
"After redistricting, without Alabama change",FL,FL-26,FL-26,Ballotpedia active incumbent running district,FL-26,FL-26,active,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Florida,_2026",MARIO DIAZ-BALART,R,Mario Diaz-Balart,Trump,Trump,Same party won president and House,-34.96848242978735,-18.31429925545414,16.65418317433321,34.96848242978735,18.31429925545414,-16.65418317433321,TRUE,FALSE,FALSE,0.6135362919109073,0.6135362919109073
"After redistricting, without Alabama change",FL,FL-18,FL-18,Ballotpedia active incumbent running district,FL-18,FL-18,active,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Florida,_2026",SCOTT FRANKLIN,R,Scott Franklin,Trump,Trump,Same party won president and House,-29.39921032974069,-16.896037408795905,12.503172920944785,29.39921032974069,16.896037408795905,-12.503172920944785,TRUE,FALSE,FALSE,0.6331405408848693,0.6331405408848693
"After redistricting, without Alabama change",TX,TX-25,TX-25,Ballotpedia active incumbent running district,TX-25,TX-25,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",ROGER WILLIAMS,R,Roger Williams,Trump,Trump,Same party won president and House,-36.33573416271075,-24.05737108484388,12.27836307786687,36.33573416271075,24.05737108484388,-12.27836307786687,TRUE,FALSE,FALSE,0.6111081413374673,0.6111081413374673
"After redistricting, without Alabama change",MO,MO-6,MO-6,Ballotpedia status is did_not_make_ballot; using population-matched successor,MO-6,NA,did_not_make_ballot,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Missouri,_2026",SAM GRAVES,R,Sam Graves,Trump,Trump,Same party won president and House,-38.85463751426415,-26.62830779021053,12.226329724053617,38.85463751426415,26.62830779021053,-12.226329724053617,TRUE,FALSE,FALSE,0.793123930935162,0.793123930935162
"After redistricting, without Alabama change",CA,CA-3,CA-6,Ballotpedia active incumbent running district,CA-3,CA-6,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",KEVIN KILEY,R,Kevin Kiley,Trump,Harris,Same party won president and House,-3.818702079032732,8.388138334562234,12.206840413594966,3.818702079032732,-8.388138334562234,-12.206840413594966,TRUE,FALSE,TRUE,0.33569438813543806,0.33888007266562986
"After redistricting, without Alabama change",TX,TX-36,TX-36,Ballotpedia active incumbent running district,TX-36,TX-36,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",BRIAN BABIN,R,Brian Babin,Trump,Trump,Same party won president and House,-36.780110759807,-24.93281854272356,11.847292217083442,36.780110759807,24.93281854272356,-11.847292217083442,TRUE,FALSE,FALSE,0.5926176062958042,0.5926176062958042
"After redistricting, without Alabama change",CA,CA-50,CA-50,Ballotpedia active incumbent running district,CA-50,CA-50,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",SCOTT H. PETERS,D,Scott Peters,Harris,Harris,Same party won president and House,29.557203503681013,18.25146401758166,-11.305739486099352,29.557203503681013,18.25146401758166,-11.305739486099352,TRUE,FALSE,FALSE,0.4354498427565281,0.4354314926701819
"After redistricting, without Alabama change",TX,TX-11,TX-11,Ballotpedia active incumbent running district,TX-11,TX-11,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",AUGUST PFLUGER,R,August Pfluger,Trump,Trump,Same party won president and House,-45.461794519775076,-34.30718490091911,11.154609618855964,45.461794519775076,34.30718490091911,-11.154609618855964,TRUE,FALSE,FALSE,0.7382511046471453,0.7382511046471453
"After redistricting, without Alabama change",FL,FL-23,FL-25,No Ballotpedia incumbent match; using population-matched successor,FL-25,NA,NA,NA,NA,JARED MOSKOWITZ,D,Jared Moskowitz,Harris,Trump,Same party won president and House,1.905253513311228,-9.10621098676122,-11.011464500072448,1.905253513311228,-9.10621098676122,-11.011464500072448,TRUE,FALSE,TRUE,0.46339738514679135,0.46339738514679135
"After redistricting, without Alabama change",TX,TX-14,TX-14,Ballotpedia active incumbent running district,TX-14,TX-14,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026","RANDY K. WEBER, SR.",R,Randy Weber,Trump,Trump,Same party won president and House,-34.053253870305596,-24.271317829457363,9.781936040848233,34.053253870305596,24.271317829457363,-9.781936040848233,TRUE,FALSE,FALSE,0.7542370340044877,0.7542370340044877
"After redistricting, without Alabama change",CA,CA-8,CA-8,Ballotpedia active incumbent running district,CA-8,CA-8,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",JOHN GARAMENDI,D,John Garamendi,Harris,Harris,Same party won president and House,43.57664950406151,34.081857415446876,-9.49479208861463,43.57664950406151,34.081857415446876,-9.49479208861463,TRUE,FALSE,FALSE,0.773471108068212,0.7664982449718607
"After redistricting, without Alabama change",OH,OH-1,OH-1,Ballotpedia active incumbent running district,OH-1,OH-1,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Ohio,_2026",GREG LANDSMAN,D,Greg Landsman,Harris,Trump,Same party won president and House,6.3367290645804655,-2.5951304487921782,-8.931859513372643,6.3367290645804655,-2.5951304487921782,-8.931859513372643,TRUE,FALSE,TRUE,0.872877973125866,0.872877973125866
"After redistricting, without Alabama change",TN,TN-6,TN-6,No Ballotpedia incumbent match; using population-matched successor,TN-6,NA,NA,NA,NA,JOHN W. ROSE,R,John Rose,Trump,Trump,Same party won president and House,-35.20965426903193,-26.515473711536657,8.694180557495272,35.20965426903193,26.515473711536657,-8.694180557495272,TRUE,FALSE,FALSE,0.6161321367781828,0.6161321367781828
"After redistricting, without Alabama change",LA,LA-3,LA-3,Ballotpedia active incumbent running district,LA-3,LA-3,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Louisiana,_2026",CLAY HIGGINS,R,Clay Higgins,Trump,Trump,Same party won president and House,-44.77570179694546,-36.15523876184654,8.620463035098922,44.77570179694546,36.15523876184654,-8.620463035098922,TRUE,FALSE,FALSE,0.8175674718242093,0.8174958620734072
"After redistricting, without Alabama change",TX,TX-27,TX-27,Ballotpedia active incumbent running district,TX-27,TX-27,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",MICHAEL CLOUD,R,Michael Cloud,Trump,Trump,Same party won president and House,-29.667490569401856,-21.16878830594789,8.498702263453968,29.667490569401856,21.16878830594789,-8.498702263453968,TRUE,FALSE,FALSE,0.39803803715056446,0.39803803715056446
"After redistricting, without Alabama change",NC,NC-3,NC-3,No Ballotpedia incumbent match; using population-matched successor,NC-3,NA,NA,NA,NA,GREGORY F. MURPHY,R,Greg Murphy,Trump,Trump,Same party won president and House,-21.861199729691506,-13.614771151178918,8.246428578512589,21.861199729691506,13.614771151178918,-8.246428578512589,TRUE,FALSE,FALSE,0.6356422604607126,0.6356431129051725
"After redistricting, without Alabama change",OH,OH-8,OH-8,Ballotpedia active incumbent running district,OH-8,OH-8,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Ohio,_2026",WARREN DAVIDSON,R,Warren Davidson,Trump,Trump,Same party won president and House,-23.692639075778587,-15.625194057433548,8.067445018345039,23.692639075778587,15.625194057433548,-8.067445018345039,TRUE,FALSE,FALSE,0.8167725827550217,0.8167715444363932
"After redistricting, without Alabama change",TX,TX-4,TX-4,Ballotpedia active incumbent running district,TX-4,TX-4,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",PAT FALLON,R,Pat Fallon,Trump,Trump,Same party won president and House,-32.58900040320701,-24.623923163940137,7.965077239266872,32.58900040320701,24.623923163940137,-7.965077239266872,TRUE,FALSE,FALSE,0.6934237477297529,0.6934237477297529
"After redistricting, without Alabama change",TX,TX-17,TX-17,Ballotpedia active incumbent running district,TX-17,TX-17,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",PETE SESSIONS,R,Pete Sessions,Trump,Trump,Same party won president and House,-29.237320406223816,-21.593016912165847,7.644303494057969,29.237320406223816,21.593016912165847,-7.644303494057969,TRUE,FALSE,FALSE,0.5308251639206402,0.5308251639206402
"After redistricting, without Alabama change",MO,MO-3,MO-3,Ballotpedia active incumbent running district,MO-3,MO-3,active,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Missouri,_2026",BOB ONDER,R,Bob Onder,Trump,Trump,Same party won president and House,-26.71904682224869,-19.9606331138912,6.758413708357491,26.71904682224869,19.9606331138912,-6.758413708357491,TRUE,FALSE,FALSE,0.604078173660322,0.604078173660322
"After redistricting, without Alabama change",CA,CA-32,CA-32,Ballotpedia active incumbent running district,CA-32,CA-32,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",BRAD SHERMAN,D,Brad Sherman,Harris,Harris,Same party won president and House,31.34690255353258,25.01285897389559,-6.33404357963699,31.34690255353258,25.01285897389559,-6.33404357963699,TRUE,FALSE,FALSE,0.7822758669799901,0.7819541438954752
"After redistricting, without Alabama change",TX,TX-8,TX-8,No Ballotpedia incumbent match; using population-matched successor,TX-8,NA,NA,NA,NA,MORGAN LUTTRELL,R,Morgan Luttrell,Trump,Trump,Same party won president and House,-33.88044219538892,-27.625595952388675,6.254846243000248,33.88044219538892,27.625595952388675,-6.254846243000248,TRUE,FALSE,FALSE,0.6576499992829083,0.6576499992829083
"After redistricting, without Alabama change",FL,FL-8,FL-8,Ballotpedia active incumbent running district,FL-8,FL-8,active,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Florida,_2026",MIKE HARIDOPOLOS,R,Mike Haridopolos,Trump,Trump,Same party won president and House,-22.33970008507764,-16.145371953010617,6.1943281320670245,22.33970008507764,16.145371953010617,-6.1943281320670245,TRUE,FALSE,FALSE,0.7922729618666157,0.7922739918358856
"After redistricting, without Alabama change",TX,TX-6,TX-6,Ballotpedia active incumbent running district,TX-6,TX-6,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",JAKE ELLZEY,R,Jake Ellzey,Trump,Trump,Same party won president and House,-28.53503184713376,-22.87380658821403,5.661225258919728,28.53503184713376,22.87380658821403,-5.661225258919728,TRUE,FALSE,FALSE,0.6312532024662739,0.6312532024662739
"After redistricting, without Alabama change",TX,TX-5,TX-5,Ballotpedia active incumbent running district,TX-5,TX-5,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",LANCE GOODEN,R,Lance Gooden,Trump,Trump,Same party won president and House,-27.080254439266692,-21.550249149619287,5.530005289647406,27.080254439266692,21.550249149619287,-5.530005289647406,TRUE,FALSE,FALSE,0.7612175956046191,0.7612175956046191
"After redistricting, without Alabama change",OH,OH-5,OH-5,Ballotpedia active incumbent running district,OH-5,OH-5,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Ohio,_2026",ROBERT E. LATTA,R,Bob Latta,Trump,Trump,Same party won president and House,-29.26411145251326,-23.752090171548893,5.512021280964365,29.26411145251326,23.752090171548893,-5.512021280964365,TRUE,FALSE,FALSE,0.806290123692206,0.806290123692206
"After redistricting, without Alabama change",OH,OH-2,OH-2,Ballotpedia active incumbent running district,OH-2,OH-2,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Ohio,_2026",DAVID J. TAYLOR,R,David Taylor,Trump,Trump,Same party won president and House,-47.58086658992745,-42.155512177478975,5.425354412448478,47.58086658992745,42.155512177478975,-5.425354412448478,TRUE,FALSE,FALSE,0.8150169902202945,0.8150169902202945
"After redistricting, without Alabama change",CA,CA-51,CA-51,Ballotpedia active incumbent running district,CA-51,CA-51,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",SARA JACOBS,D,Sara Jacobs,Harris,Harris,Same party won president and House,23.498043428220665,18.24073917860296,-5.257304249617704,23.498043428220665,18.24073917860296,-5.257304249617704,TRUE,FALSE,FALSE,0.5673376848619297,0.567479142810404
"After redistricting, without Alabama change",CA,CA-31,CA-31,Ballotpedia active incumbent running district,CA-31,CA-31,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",GIL CISNEROS,D,Gil Cisneros,Harris,Harris,Same party won president and House,16.90290587373443,12.22912655947055,-4.673779314263879,16.90290587373443,12.22912655947055,-4.673779314263879,TRUE,FALSE,FALSE,0.6859963922658208,0.6846664109772476
"After redistricting, without Alabama change",CA,CA-22,CA-22,No Ballotpedia incumbent match; using population-matched successor,CA-22,NA,NA,NA,NA,DAVID G. VALADAO,R,David Valadao,Trump,Trump,Same party won president and House,-5.831223287979376,-1.8076653423697129,4.023557945609663,5.831223287979376,1.8076653423697129,-4.023557945609663,TRUE,FALSE,FALSE,0.8422902229091322,0.846730365163305
"After redistricting, without Alabama change",CA,CA-38,CA-38,No Ballotpedia incumbent match; using population-matched successor,CA-38,NA,NA,NA,NA,LINDA T. SáNCHEZ,D,Linda Sanchez,Harris,Harris,Same party won president and House,16.07992485002221,12.37213070277004,-3.7077941472521694,16.07992485002221,12.37213070277004,-3.7077941472521694,TRUE,FALSE,FALSE,0.3955099686824869,0.39561439058616044
"After redistricting, without Alabama change",CA,CA-6,CA-3,Ballotpedia active incumbent running district,CA-6,CA-3,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",AMI BERA,D,Ami Bera,Harris,Harris,Same party won president and House,13.86706567754436,10.183179956032449,-3.6838857215119116,13.86706567754436,10.183179956032449,-3.6838857215119116,TRUE,FALSE,FALSE,0.37420215929063205,0.3709856398149592
"After redistricting, without Alabama change",CA,CA-52,CA-52,Ballotpedia active incumbent running district,CA-52,CA-52,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",JUAN VARGAS,D,Juan Vargas,Harris,Harris,Same party won president and House,21.18978864471723,17.582083093431518,-3.6077055512857115,21.18978864471723,17.582083093431518,-3.6077055512857115,TRUE,FALSE,FALSE,0.9168417222049247,0.9167694585331699
"After redistricting, without Alabama change",OH,OH-12,OH-12,Ballotpedia active incumbent running district,OH-12,OH-12,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Ohio,_2026",TROY BALDERSON,R,Troy Balderson,Trump,Trump,Same party won president and House,-32.73381570971479,-30.09430834048529,2.6395073692294986,32.73381570971479,30.09430834048529,-2.6395073692294986,TRUE,FALSE,FALSE,0.8354321599735581,0.8354321599735581
"After redistricting, without Alabama change",FL,FL-20,FL-20,No Ballotpedia incumbent match; using population-matched successor,FL-20,NA,NA,NA,NA,SHEILA CHERFILUS-MCCORMICK,D,VACANT (Cherfilus-McCormick),Harris,Harris,Same party won president and House,39.60577064232427,37.060233558696986,-2.5455370836272877,39.60577064232427,37.060233558696986,-2.5455370836272877,TRUE,FALSE,FALSE,0.6594112745231865,0.6594112745231865
"After redistricting, without Alabama change",CA,CA-35,CA-35,Ballotpedia active incumbent running district,CA-35,CA-35,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",NORMA J. TORRES,D,Norma Torres,Harris,Harris,Same party won president and House,10.270642258205905,7.754018909805909,-2.516623348399996,10.270642258205905,7.754018909805909,-2.516623348399996,TRUE,FALSE,FALSE,0.6833023103894724,0.6808533998360958
"After redistricting, without Alabama change",LA,LA-5,LA-5,Ballotpedia status is did_not_make_ballot; using population-matched successor,LA-5,NA,did_not_make_ballot,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Louisiana,_2026",JULIA LETLOW,R,Julia Letlow,Trump,Trump,Same party won president and House,-36.26879952160263,-33.96740315996136,2.301396361641274,36.26879952160263,33.96740315996136,-2.301396361641274,TRUE,FALSE,FALSE,0.5676819724714506,0.5676819724714506
"After redistricting, without Alabama change",TX,TX-10,TX-10,No Ballotpedia incumbent match; using population-matched successor,TX-10,NA,NA,NA,NA,MICHAEL T. MCCAUL,R,Michael McCaul,Trump,Trump,Same party won president and House,-24.83236897039663,-22.56921266702117,2.2631563033754603,24.83236897039663,22.56921266702117,-2.2631563033754603,TRUE,FALSE,FALSE,0.557696545052263,0.557696545052263
"After redistricting, without Alabama change",FL,FL-17,FL-17,Ballotpedia active incumbent running district,FL-17,FL-17,active,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Florida,_2026",W. GREGORY STEUBE,R,Greg Steube,Trump,Trump,Same party won president and House,-23.946779227117247,-21.999880927968036,1.9468982991492112,23.946779227117247,21.999880927968036,-1.9468982991492112,TRUE,FALSE,FALSE,0.853499839447961,0.853499839447961
"After redistricting, without Alabama change",TX,TX-21,TX-21,Ballotpedia status is did_not_make_ballot; using population-matched successor,TX-21,NA,did_not_make_ballot,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",CHIP ROY,R,Chip Roy,Trump,Trump,Same party won president and House,-23.64105738102853,-21.80764751693193,1.833409864096602,23.64105738102853,21.80764751693193,-1.833409864096602,TRUE,FALSE,FALSE,0.6988514798816668,0.6988514798816668
"After redistricting, without Alabama change",TX,TX-1,TX-1,Ballotpedia active incumbent running district,TX-1,TX-1,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",NATHANIEL MORAN,R,Nathaniel Moran,Trump,Trump,Same party won president and House,-51.28456685982543,-49.45568415558898,1.8288827042364488,51.28456685982543,49.45568415558898,-1.8288827042364488,TRUE,FALSE,FALSE,0.8477979418164845,0.8477979418164845
"After redistricting, without Alabama change",FL,FL-16,FL-16,Ballotpedia status is did_not_make_ballot; using population-matched successor,FL-16,NA,did_not_make_ballot,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Florida,_2026",VERN BUCHANAN,R,Vern Buchanan,Trump,Trump,Same party won president and House,-15.466663526530223,-13.63874569157569,1.8279178349545333,15.466663526530223,13.63874569157569,-1.8279178349545333,TRUE,FALSE,FALSE,0.519629599295911,0.519629599295911
"After redistricting, without Alabama change",CA,CA-28,CA-28,Ballotpedia active incumbent running district,CA-28,CA-28,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",JUDY CHU,D,Judy Chu,Harris,Harris,Same party won president and House,26.93537700027533,25.30020564545744,-1.635171354817892,26.93537700027533,25.30020564545744,-1.635171354817892,TRUE,FALSE,FALSE,0.9228926059288209,0.9227367651734323
"After redistricting, without Alabama change",TX,TX-13,TX-13,No Ballotpedia incumbent match; using population-matched successor,TX-13,NA,NA,NA,NA,RONNY JACKSON,R,Ronny Jackson,Trump,Trump,Same party won president and House,-47.79049008187282,-46.15822499498205,1.6322650868907687,47.79049008187282,46.15822499498205,-1.6322650868907687,TRUE,FALSE,FALSE,0.9836959426952477,0.9836959426952477
"After redistricting, without Alabama change",CA,CA-46,CA-46,Ballotpedia active incumbent running district,CA-46,CA-46,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",J. LUIS CORREA,D,Lou Correa,Harris,Harris,Same party won president and House,17.728359329920046,16.17237287390674,-1.5559864560133079,17.728359329920046,16.17237287390674,-1.5559864560133079,TRUE,FALSE,FALSE,0.9045223145993562,0.9044745625809211
"After redistricting, without Alabama change",TX,TX-31,TX-31,Ballotpedia active incumbent running district,TX-31,TX-31,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",JOHN R. CARTER,R,John Carter,Trump,Trump,Same party won president and House,-23.27022912062931,-21.80356980238594,1.4666593182433694,23.27022912062931,21.80356980238594,-1.4666593182433694,TRUE,FALSE,FALSE,0.7283956572927572,0.7283956572927572
"After redistricting, without Alabama change",TX,TX-33,TX-33,Ballotpedia status is did_not_make_ballot; using population-matched successor,TX-33,NA,did_not_make_ballot,Democratic primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",MARC A. VEASEY,D,Marc Veasey,Harris,Harris,Same party won president and House,33.76887793761242,32.59815871741188,-1.1707192202005459,33.76887793761242,32.59815871741188,-1.1707192202005459,TRUE,FALSE,FALSE,0.3268712507513165,0.3268712507513165
"After redistricting, without Alabama change",CA,CA-29,CA-29,No Ballotpedia incumbent match; using population-matched successor,CA-29,NA,NA,NA,NA,LUZ MARIA RIVAS,D,Luz Rivas,Harris,Harris,Same party won president and House,34.8005889507714,33.63957745005752,-1.161011500713876,34.8005889507714,33.63957745005752,-1.161011500713876,TRUE,FALSE,FALSE,0.9299228596965349,0.9299486421187436
"After redistricting, without Alabama change",CA,CA-30,CA-30,Ballotpedia active incumbent running district,CA-30,CA-30,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",LAURA FRIEDMAN,D,Laura Friedman,Harris,Harris,Same party won president and House,41.05507971831484,39.994904846545104,-1.060174871769739,41.05507971831484,39.994904846545104,-1.060174871769739,TRUE,FALSE,FALSE,0.9708369552456942,0.9707012316956884
"After redistricting, without Alabama change",CA,CA-18,CA-18,Ballotpedia active incumbent running district,CA-18,CA-18,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",ZOE LOFGREN,D,Zoe Lofgren,Harris,Harris,Same party won president and House,29.503422410545344,28.448755095852565,-1.0546673146927787,29.503422410545344,28.448755095852565,-1.0546673146927787,TRUE,FALSE,FALSE,0.9450290344680332,0.9359284715357292
"After redistricting, without Alabama change",TX,TX-2,TX-2,No Ballotpedia incumbent match; using population-matched successor,TX-2,NA,NA,NA,NA,DAN CRENSHAW,R,Dan Crenshaw,Trump,Trump,Same party won president and House,-23.781506785381996,-22.83048534472529,0.9510214406567066,23.781506785381996,22.83048534472529,-0.9510214406567066,TRUE,FALSE,FALSE,0.7979626773335141,0.7979626773335141
